Title,Year,Note
Quest For Fire,1981,1/7 CTV_2022-02-16 - Guest Curator @k_earth101 presents PROTECT YA NECK
Silent Running,1972,2/7 CTV_2022-02-16 - Guest Curator @k_earth101 presents PROTECT YA NECK
The Hellstrom Chronicle,1971,3/7 CTV_2022-02-16 - Guest Curator @k_earth101 presents PROTECT YA NECK
Brother's Keeper,1992,4/7 CTV_2022-02-16 - Guest Curator @k_earth101 presents PROTECT YA NECK
Where The Green Ants Dream,1984,5/7 CTV_2022-02-16 - Guest Curator @k_earth101 presents PROTECT YA NECK
Project Grizzly,1996,6/7 CTV_2022-02-16 - Guest Curator @k_earth101 presents PROTECT YA NECK
Being Two Isn't Easy,1962,7/7 CTV_2022-02-16 - Guest Curator @k_earth101 presents PROTECT YA NECK
Simone Barbes or Virtue,1980,2/8 CTV_2022-02-15 - @clavendr presents: Galentine's Day - Salacious Female Friendship and Queerdom!
Kamikaze Hearts,1986,"4/8 CTV_2022-02-15 - @clavendr presents: Galentine's Day - Salacious Female Friendship and Queerdom!& 3/9 CTV_2021-06-10 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema!"
Working Girls,1986,5/8 CTV_2022-02-15 - @clavendr presents: Galentine's Day - Salacious Female Friendship and Queerdom!& 8/9 CTV_2021-08-12 - Old New York: The Pre-Giuliani Years (Part 2)& 6/8 CTV_2021-03-18 - The Female Maze Part III
"Bloodsisters: Leather, Dykes And Sadomasochism",1995,6/8 CTV_2022-02-15 - @clavendr presents: Galentine's Day - Salacious Female Friendship and Queerdom!
New Love in Tokyo,1994,7/8 CTV_2022-02-15 - @clavendr presents: Galentine's Day - Salacious Female Friendship and Queerdom!
The Duke of Burgundy,2014,8/8 CTV_2022-02-15 - @clavendr presents: Galentine's Day - Salacious Female Friendship and Queerdom!
Medea,1969,1/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!& 9/12 CTV_2021-05-12 - 24 hours of Films by Pier Paolo Pasolini
Dream Deceivers: The Story Behind James Vance vs. Judas Priest,1992,2/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!
The Complaint of an Empress,1990,3/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!
Aria,1987,4/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!
Nocní Mury,1970,5/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!
Duke Bluebeard’s Castle,1988,6/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!
6:15AM / 4:25PM PST The Image,1975,8/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!
The Looking Glass Murders,1970,9/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!
Erwartung,1989,10/10 CTV_2022-02-14 - @1800hotduck Valentines XXX-travaganza!
The Dead Zone,1983,1/12 CTV_2022-02-12 - STEPHEN KING!
Sleepwalkers,1992,2/12 CTV_2022-02-12 - STEPHEN KING!& 8/9 CTV_2021-09-14 - CATSHIT CRAZY! Fucked Up Feline Films curated by @tylerhubby
Maximum Overdrive,1986,3/12 CTV_2022-02-12 - STEPHEN KING!
The Night Flier,1997,4/12 CTV_2022-02-12 - STEPHEN KING!
1408,2007,5/12 CTV_2022-02-12 - STEPHEN KING!
The Dark Half,1993,6/12 CTV_2022-02-12 - STEPHEN KING!
Christine,1983,7/12 CTV_2022-02-12 - STEPHEN KING!& 2/10 CTV_2021-02-05 - CAR CRAZE!
Thinner,1996,8/12 CTV_2022-02-12 - STEPHEN KING!
The Mangler,1995,9/12 CTV_2022-02-12 - STEPHEN KING!
The Mist,2007,10/12 CTV_2022-02-12 - STEPHEN KING!
Salem’s Lot,1979,11/12 CTV_2022-02-12 - STEPHEN KING!
Cat’s Eye,1985,12/12 CTV_2022-02-12 - STEPHEN KING!& 7/9 CTV_2021-09-14 - CATSHIT CRAZY! Fucked Up Feline Films curated by @tylerhubby& 4/8 CTV_2021-01-25 - The Cats & Dogs Show!
Raw,2016,"1/7 CTV_2022-02-10 - @eyes.of.mars presents: LA MONSTRE - Young, Women, Growths, Transformations, Mutations, Powers."
Ginger Snaps,2000,"2/7 CTV_2022-02-10 - @eyes.of.mars presents: LA MONSTRE - Young, Women, Growths, Transformations, Mutations, Powers.& 5/10 CTV_2021-01-15 - HUNGRY LIKE A WOLF!"
Thelma,2017,"3/7 CTV_2022-02-10 - @eyes.of.mars presents: LA MONSTRE - Young, Women, Growths, Transformations, Mutations, Powers."
I’m A Cyborg But Thats Ok!,2006,"4/7 CTV_2022-02-10 - @eyes.of.mars presents: LA MONSTRE - Young, Women, Growths, Transformations, Mutations, Powers."
Let The Right One In,2008,"5/7 CTV_2022-02-10 - @eyes.of.mars presents: LA MONSTRE - Young, Women, Growths, Transformations, Mutations, Powers."
Teeth,2007,"6/7 CTV_2022-02-10 - @eyes.of.mars presents: LA MONSTRE - Young, Women, Growths, Transformations, Mutations, Powers."
A Girl Walks Home Alone At Night,2014,"7/7 CTV_2022-02-10 - @eyes.of.mars presents: LA MONSTRE - Young, Women, Growths, Transformations, Mutations, Powers."
Geometria,1987,"1/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
La Rabia de Clara,2016,"2/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
Nadie es inocente: 20 años después,2010,"3/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
Ya No Estoy Aqui,2019,"4/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
Ladrones de Tumbas,1989,"5/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
Los Olvidados,1950,"6/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
"Mary, Mary, Blood Mary",1975,"7/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
La Formula Secreta,1965,"8/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
El Castillo de la pureza,1973,"9/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
Lacrima Christi,1980,"10/10 CTV_2022-02-09 - It Came From Mexico! Mexican Horror & Art House, curated by @humanleather"
Tanya’s Island,1980,1/9 CTV_2022-02-08 - Marooned on a Remote  Island!
Temptation Island,1980,"2/9 CTV_2022-02-08 - Marooned on a Remote  Island!& 8/9 CTV_2021-05-04 - Thai and Southeast Asian Horror, Thrillers, and Sci Fi"
Matango,1963,3/9 CTV_2022-02-08 - Marooned on a Remote  Island!& 6/7 CTV_2021-09-22 - @theodore_ted_logan presents: Japanese Bizarro Horror!
The Blue Lagoon,1980,4/9 CTV_2022-02-08 - Marooned on a Remote  Island!
Out of Control,1984,5/9 CTV_2022-02-08 - Marooned on a Remote  Island!
Mysterious Island,1961,6/9 CTV_2022-02-08 - Marooned on a Remote  Island!
Flesh Eaters,1964,7/9 CTV_2022-02-08 - Marooned on a Remote  Island!
Lord of the Flies,1990,8/9 CTV_2022-02-08 - Marooned on a Remote  Island!
Battle Royale,2000,9/9 CTV_2022-02-08 - Marooned on a Remote  Island!& 8/8 CTV_2021-02-16 - Kōtōgakkō Hangyaku! High School Student Transgression and Rebellion films& 2/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
Sylvain’s Hunt,2022,"1/8 CTV_2022-02-07 - @theodore_ted_logan & @brutusviii presents: The Father & Son Show!  Featuring the online premiere of Theo’s short film, @sylvains_hunt !"
There Will Be Blood,2007,"2/8 CTV_2022-02-07 - @theodore_ted_logan & @brutusviii presents: The Father & Son Show!  Featuring the online premiere of Theo’s short film, @sylvains_hunt !"
Shogun Assassin,1980,"3/8 CTV_2022-02-07 - @theodore_ted_logan & @brutusviii presents: The Father & Son Show!  Featuring the online premiere of Theo’s short film, @sylvains_hunt !& 3/10 CTV_2020-09-04 - 42nd STREET FOREVER: The Dirty Deuce.  70’s/80’s NYC. Times Square. The Mecca of Cinema Sleaze. Not for the faint of heart!"
He Got Game,1998,"4/8 CTV_2022-02-07 - @theodore_ted_logan & @brutusviii presents: The Father & Son Show!  Featuring the online premiere of Theo’s short film, @sylvains_hunt !"
Frailty,2001,"5/8 CTV_2022-02-07 - @theodore_ted_logan & @brutusviii presents: The Father & Son Show!  Featuring the online premiere of Theo’s short film, @sylvains_hunt !"
World’s Greatest Dad,2009,"6/8 CTV_2022-02-07 - @theodore_ted_logan & @brutusviii presents: The Father & Son Show!  Featuring the online premiere of Theo’s short film, @sylvains_hunt !"
A Bronx Tale,1993,"7/8 CTV_2022-02-07 - @theodore_ted_logan & @brutusviii presents: The Father & Son Show!  Featuring the online premiere of Theo’s short film, @sylvains_hunt !"
Godzilla vs Destoroyah,1995,"8/8 CTV_2022-02-07 - @theodore_ted_logan & @brutusviii presents: The Father & Son Show!  Featuring the online premiere of Theo’s short film, @sylvains_hunt !"
Hallucinations,1987,1/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
Killer Workout,1987,2/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
The Dead Next Door,1989,5/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
The Wizard of Gore,1970,6/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!& 6/8 CTV_2020-10-21 - GORE ZONE! A splatter filled deep dive into the cinematic sewers! The season continues with our homage to our favorite 80’s horror magazine!! Not for the SQUEAMISH!
Nightbeast,1982,8/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
Droid,1988,9/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
Nightmare Weekend,1984,10/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!& 8/8 CTV_2020-12-10 - Artist Matt Minter aka @worsethanjail is taking over the stream with a wicked show featuring some of his favorite trash horror and fantastical cinema originating from France!
The Monster of Camp Sunshine,1964,12/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
Confessions Of A Teenage Peanut Butter Freak,1975,13/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
The Dirk Diggler Story,1988,1/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND& 5/6 CTV_2020-05-29 - is FEATURE FRIDAY!  Harsh 70’s Realities!
Boogie Nights,1997,2/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND& 10/10 CTV_2021-07-07 - Robert Downey Sr. (a Prince) RIP 1936-2021& 1/7 CTV_2021-01-21 - 90’s Auteur Films!
Valley Girl,1983,3/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND
The Wild Life,1984,4/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND
Safe,1995,5/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND& 7/10 CTV_2020-12-14 - Suburban Hell.& 1/6 CTV_2020-09-10 - Yearning From The Void.  Stream starts at  with a Music Video pre-show! 🖤
Aloha Bobby & Rose,1975,6/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND
Van Nuys Blvd,1979,7/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND& 4/6 CTV_2020-05-29 - is FEATURE FRIDAY!  Harsh 70’s Realities!
Breezy,1973,8/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND
Foxes,1980,"9/9 CTV_2022-02-03 - SAN FERNANDO VALLEY & BEYOND& 5/8 CTV_2021-09-23 - YOUTH GONE WILD!& 7/8 CTV_2020-08-04 - TEENAGE KICKS:  A collection of films reflecting troubled, disenfranchised, aimless and lawless teens in the 60’s, 70’s and 80’s. Starts at"
Panna a Netvor aka Beauty & the Beast,1978,1/8 CTV_2022-02-02 - @astraleyez presents: Fantastique Fairytale Folklore Pt 2 - Gothic Tales
Savage Hunt of King Stakh,1980,2/8 CTV_2022-02-02 - @astraleyez presents: Fantastique Fairytale Folklore Pt 2 - Gothic Tales
Valerie and Her Week of Wonders,1970,"3/8 CTV_2022-02-02 - @astraleyez presents: Fantastique Fairytale Folklore Pt 2 - Gothic Tales& 5/8 CTV_2020-08-24 - Surrealism, Poetics, Absurdities and the Avant-Garde."
Morgiana,1972,5/8 CTV_2022-02-02 - @astraleyez presents: Fantastique Fairytale Folklore Pt 2 - Gothic Tales& 2/6 CTV_2020-09-09 - Guest curator @clavendr has put together an amazing show she has titled “Lost NYC Public Access + Harlots From Hell: A Ladies Pyschotronic Sampler” C. Lavender is a Sound & Video Artist and Meditation Teacher based in NYC
Zirneklis aka The Spider,1991,6/8 CTV_2022-02-02 - @astraleyez presents: Fantastique Fairytale Folklore Pt 2 - Gothic Tales
The Mansion of Madness,1973,7/8 CTV_2022-02-02 - @astraleyez presents: Fantastique Fairytale Folklore Pt 2 - Gothic Tales
Alice or the Last Escapade,1977,8/8 CTV_2022-02-02 - @astraleyez presents: Fantastique Fairytale Folklore Pt 2 - Gothic Tales
Y Tu Mamá Tambien,2001,"1/8 CTV_2022-02-01 - Throuples, Triangles, and Parties of Three!"
A Zed and Two Noughts,1985,"2/8 CTV_2022-02-01 - Throuples, Triangles, and Parties of Three!"
The Dreamers,2003,"3/8 CTV_2022-02-01 - Throuples, Triangles, and Parties of Three!"
Going Places,1974,"4/8 CTV_2022-02-01 - Throuples, Triangles, and Parties of Three!"
The Doom Generation,1995,"5/8 CTV_2022-02-01 - Throuples, Triangles, and Parties of Three!& 3/8 CTV_2021-08-18 - POST GRUNGE ANGST!& 3/10 CTV_2020-08-26 - Bad Girls Have More Fun!"
Lower City,2005,"6/8 CTV_2022-02-01 - Throuples, Triangles, and Parties of Three!"
A Woman is a Woman,1961,"7/8 CTV_2022-02-01 - Throuples, Triangles, and Parties of Three!"
2 Girls and a Guy,1998,"8/8 CTV_2022-02-01 - Throuples, Triangles, and Parties of Three!"
Walkabout,1971,1/8 CTV_2022-01-31 - Arthouse from the Desert& 6/6 CTV_2020-09-30 - Guest curator Nina Hartmann aka @66sixties takes over the channel with a wicked list of films that have inspired her as a visual artist!  Check out her awesome works over on her IG bio
Zabriskie Point,1970,2/8 CTV_2022-01-31 - Arthouse from the Desert
Fata Morgana,1971,"4/8 CTV_2022-01-31 - Arthouse from the Desert& 7/11 CTV_2021-09-15 - HERZOG DOCS: an evening of Werner Herzog Documentaries curated by @coaxialarts founder, filmmaker and sound artist @evaguila& 2/10 CTV_2021-01-11 - HERZOG.& 8/10 CTV_2020-07-23 - HERZOG / KORINE!!  Tune in  at  for a pre-show before the beautiful, dumpster fire!"
White of the Eye,1987,5/8 CTV_2022-01-31 - Arthouse from the Desert
Dust Devil,1992,6/8 CTV_2022-01-31 - Arthouse from the Desert
Inner Scar,1972,8/8 CTV_2022-01-31 - Arthouse from the Desert& 1/7 CTV_2021-08-23 - MORE Sloooow Cinema
Basic Instinct,1992,1/12 CTV_2022-01-28 - HORNY THRILLERS
Dressed to Kill,1980,2/12 CTV_2022-01-28 - HORNY THRILLERS
Cruising,1980,"4/12 CTV_2022-01-28 - HORNY THRILLERS& 6/7 CTV_2021-09-07 - Films and Documentaries curated by Electronic Artist, DJ, and Producer Juan Mendez aka Silent Servant @silentservant77& 2/9 CTV_2021-08-11 - TWO NIGHTS!  Old New York: The Pre-Giuliani Years (Part 1)"
Wild Orchid II: Two Shades of Blue,1992,5/12 CTV_2022-01-28 - HORNY THRILLERS
In the Cold of the Night,1990,6/12 CTV_2022-01-28 - HORNY THRILLERS
Bad Timing,1980,"7/12 CTV_2022-01-28 - HORNY THRILLERS& 2/7 CTV_2021-08-02 - Obsession!& 6/10 CTV_2020-08-06 - Love is hell, love is bliss.  Through the night and into tomorrow we explore the maze of the heart."
Bound,1996,9/12 CTV_2022-01-28 - HORNY THRILLERS& 7/7 CTV_2020-12-03 - Soft Core Thrillers!
The 4th Man,1983,10/12 CTV_2022-01-28 - HORNY THRILLERS& 1/8 CTV_2021-07-29 - TAROT THEATER! @clavendr (watch her trailer on the final slide!) curates an amazing night in theme of:  The High Priestess - Secrets & Intuition Revealed!& 2/7 CTV_2020-12-03 - Soft Core Thrillers!
Live Flesh,1997,11/12 CTV_2022-01-28 - HORNY THRILLERS& 6/7 CTV_2020-12-03 - Soft Core Thrillers!
The City Girl,1984,12/12 CTV_2022-01-28 - HORNY THRILLERS
YMO Propaganda,1984,1/7 CTV_2022-01-27 - Japanese Musicals and Musical Theatre
Legend of the Stardust Brothers,1985,2/7 CTV_2022-01-27 - Japanese Musicals and Musical Theatre
Cats on Park Avenue,1989,3/7 CTV_2022-01-27 - Japanese Musicals and Musical Theatre
Bumpkin Soup AKA The Excitement of the Do-Re-Mi-Fa Girl,1985,4/7 CTV_2022-01-27 - Japanese Musicals and Musical Theatre
Curtain Call,1984,5/7 CTV_2022-01-27 - Japanese Musicals and Musical Theatre
The Happiness of the Katakuris,2001,6/7 CTV_2022-01-27 - Japanese Musicals and Musical Theatre& 7/8 CTV_2020-10-08 - Wacked Out Musical Theater!!!
Meditation Made Easy,2020,1/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Saltrise Kingdom,2013,2/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Mike Diana’s Apartment,2018,3/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Jester’s Rotunda,2020,4/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Spirit Animal,2019,5/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Last Days of Larry Seltzer,2021,6/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Private Blue,2021,7/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Fleegix,2019,8/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
The Sea Masons,2021,9/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Spectrum Hunter,2012,10/10 CTV_2022-01-26 - @hamburgerlady Underground Movies! Feature length and short artist videos pulled from the vaults.  Lots of great stuff here!
Neige,1981,1/7 CTV_2022-01-25 - Euro Art House!
Moon Child,1989,2/7 CTV_2022-01-25 - Euro Art House!
Ferat Vampire,1982,3/7 CTV_2022-01-25 - Euro Art House!
The Dead Mountaineer's Hotel,1979,4/7 CTV_2022-01-25 - Euro Art House!
Messidor,1979,5/7 CTV_2022-01-25 - Euro Art House!& 7/8 CTV_2021-03-17 - The Journey Is The Destination!
The Tit And The Moon,1994,6/7 CTV_2022-01-25 - Euro Art House!
The Second Circle,1990,7/7 CTV_2022-01-25 - Euro Art House!
Split Image,1982,"10/13 CTV_2022-01-21 - Cult of Personality& 2/8 CTV_2021-05-24 - KOOK ARENA! Cults, Christians, UFO's & Satan!& 5/6 CTV_2020-07-15 - KOOK ARENA: Cults, Christianity, UFO's & SATAN!"
Sympathy for the Devil: The True Story of the Process Church,2015,11/13 CTV_2022-01-21 - Cult of Personality
Near Dark,1987,1/7 CTV_2022-01-20 - The Film Scores of Tangerine Dream curated by @clavendr& 2/8 CTV_2021-03-31 - SOUTHERN NIGHTMARES
Thief,1981,"2/7 CTV_2022-01-20 - The Film Scores of Tangerine Dream curated by @clavendr& 1/8 CTV_2020-09-21 - Crooks, Hustlers, Swindlers & Cons."
Legend,1985,3/7 CTV_2022-01-20 - The Film Scores of Tangerine Dream curated by @clavendr& 13/13 CTV_2021-11-12 - TOP OF THE FLOPS!& 6/10 CTV_2020-11-04 - WIZARDS & WARRIORS: Fantasy Escapism from the 70’s & 80’s
The Keep,1983,4/7 CTV_2022-01-20 - The Film Scores of Tangerine Dream curated by @clavendr& 4/13 CTV_2021-11-12 - TOP OF THE FLOPS!& 6/8 CTV_2020-07-31 - It’s CREATURE FEATURE FRIDAY! Strange and crazy horror from the beyond!
Wavelength,1983,5/7 CTV_2022-01-20 - The Film Scores of Tangerine Dream curated by @clavendr& 7/8 CTV_2021-03-01 - Gazing Into The Void : Lush Films Composed of Frigid Long Takes
Firestarter,1984,6/7 CTV_2022-01-20 - The Film Scores of Tangerine Dream curated by @clavendr
Sorcerer,1977,"7/7 CTV_2022-01-20 - The Film Scores of Tangerine Dream curated by @clavendr& 9/13 CTV_2021-11-12 - TOP OF THE FLOPS!& 1/7 CTV_2020-11-11 - Crooks, Hustlers, Swindlers & Cons PART 2!"
In the Shadow of the Blue Rascal,1986,"1/8 CTV_2022-01-19 - CRIME GRIME: Offbeat, Psychotronic, Gritty Underbelly Films"
Performance,1970,"2/8 CTV_2022-01-19 - CRIME GRIME: Offbeat, Psychotronic, Gritty Underbelly Films"
Street Girls,1975,"4/8 CTV_2022-01-19 - CRIME GRIME: Offbeat, Psychotronic, Gritty Underbelly Films"
Heavy Traffic,1973,"5/8 CTV_2022-01-19 - CRIME GRIME: Offbeat, Psychotronic, Gritty Underbelly Films& 3/9 CTV_2021-05-14 - Subverted Genre! We picked a selection of genre films that are a little off their rocker!& 4/8 CTV_2020-10-01 - Disillusionment in the 1970’s: The American New Wave"
Lost Highway,1997,"6/8 CTV_2022-01-19 - CRIME GRIME: Offbeat, Psychotronic, Gritty Underbelly Films"
92 in the Shade,1975,"7/8 CTV_2022-01-19 - CRIME GRIME: Offbeat, Psychotronic, Gritty Underbelly Films"
Supermarkt,1974,"8/8 CTV_2022-01-19 - CRIME GRIME: Offbeat, Psychotronic, Gritty Underbelly Films& 1/7 CTV_2021-04-26 - 70's Euro Arthouse Gems"
The Believer’s Heaven,1977,"1/8 CTV_2022-01-18 - Films by Ron Ormond, the deemed Father of Gospel Grindhouse and other Exploitations"
"If Footmen Tire You, What Will Horses Do?",1971,"2/8 CTV_2022-01-18 - Films by Ron Ormond, the deemed Father of Gospel Grindhouse and other Exploitations"
The Burning Hell,1974,"3/8 CTV_2022-01-18 - Films by Ron Ormond, the deemed Father of Gospel Grindhouse and other Exploitations"
The Grim Reaper,1976,"4/8 CTV_2022-01-18 - Films by Ron Ormond, the deemed Father of Gospel Grindhouse and other Exploitations"
39 Stripes,1979,"5/8 CTV_2022-01-18 - Films by Ron Ormond, the deemed Father of Gospel Grindhouse and other Exploitations"
The Monster and the Stripper AKA The Exotic Ones,1968,"6/8 CTV_2022-01-18 - Films by Ron Ormond, the deemed Father of Gospel Grindhouse and other Exploitations"
Please Don’t Touch Me,1963,"7/8 CTV_2022-01-18 - Films by Ron Ormond, the deemed Father of Gospel Grindhouse and other Exploitations"
Kentucky Jubilee,1951,"8/8 CTV_2022-01-18 - Films by Ron Ormond, the deemed Father of Gospel Grindhouse and other Exploitations"
The Wormwood Star,1955,"1/8 CTV_2022-01-17 - Mystic Art House& 6/13 CTV_2020-07-05 - We are re-airing our popular program, Phantasmagoria : Magical Practices and Ceremonial Cinema."
The Juniper Tree,1990,2/8 CTV_2022-01-17 - Mystic Art House
Vali,1967,3/8 CTV_2022-01-17 - Mystic Art House
The Ninth Configuration,1980,5/8 CTV_2022-01-17 - Mystic Art House
Juliet Of The Spirits,1965,"6/8 CTV_2022-01-17 - Mystic Art House& 7/8 CTV_2020-08-03 - Cinema Revival House Monday!  we will be showing an eclectic mix of films shown at San Francisco's infamous Market Street Theater, STRAND THEATER. These were films shown on a Monday during the 1980's! Tune in for the Strand trailer pre-show at 8!"
Macbeth,1971,8/8 CTV_2022-01-17 - Mystic Art House
Poltergeist III,1988,1/13 CTV_2022-01-14 - SPIRITUAL HELL
The Entity,1982,"2/13 CTV_2022-01-14 - SPIRITUAL HELL& 4/8 CTV_2020-10-30 - HOUSE OF PSYCHOTIC WOMEN!  We welcome accomplished author, programmer and producer @kierlajanisse to Cathode.  We will be screening some of our favorite films from the book and will be speaking on camera with Kier-La alongside actor @alexessoe (Starry Eyes, Doctor Sleep, Haunting of Bly Manor) to discuss the book and some of the films in the lineup!"
Ghosthouse,1988,3/13 CTV_2022-01-14 - SPIRITUAL HELL& 5/8 CTV_2021-05-19 - We are thrilled to welcome back our pal @hamburgerlady for a special all HAUNTED HOUSE SHOW!
Ju-on: The Grudge,2002,4/13 CTV_2022-01-14 - SPIRITUAL HELL
Boardinghouse,1982,5/13 CTV_2022-01-14 - SPIRITUAL HELL& 7/8 CTV_2021-05-19 - We are thrilled to welcome back our pal @hamburgerlady for a special all HAUNTED HOUSE SHOW!
Amityville II: The Possession,1982,6/13 CTV_2022-01-14 - SPIRITUAL HELL
Ghosts of Hanley House,1968,7/13 CTV_2022-01-14 - SPIRITUAL HELL
Hausu,1977,8/13 CTV_2022-01-14 - SPIRITUAL HELL& 9/10 CTV_2021-10-08 - TRIPPY ASS HORROR!& 1/8 CTV_2020-10-12 - Horror at the Arthouse!& 9/9 CTV_2020-07-07 - PSYCHOTRONIC ASIAN MADNESS!!  Rerunning a couple greatest hits attached to a whole new lineup!
The Evil,1978,9/13 CTV_2022-01-14 - SPIRITUAL HELL
Sweet Home,1989,10/13 CTV_2022-01-14 - SPIRITUAL HELL& 4/7 CTV_2021-09-22 - @theodore_ted_logan presents: Japanese Bizarro Horror!
Burnt Offerings,1976,11/13 CTV_2022-01-14 - SPIRITUAL HELL& 8/8 CTV_2021-10-20 - Supernatural Horror!
At the Meeting with Joyous Death,1973,12/13 CTV_2022-01-14 - SPIRITUAL HELL
The Changeling,1980,13/13 CTV_2022-01-14 - SPIRITUAL HELL
Gummo,1997,"1/7 CTV_2022-01-13 - TRASH ART / ART TRASH& 3/9 CTV_2021-01-06 - The Kids Are Not Alright Part 2!& 2/10 CTV_2020-07-23 - HERZOG / KORINE!!  Tune in  at  for a pre-show before the beautiful, dumpster fire!"
Pink Flamingos,1972,2/7 CTV_2022-01-13 - TRASH ART / ART TRASH
Heidi,1992,3/7 CTV_2022-01-13 - TRASH ART / ART TRASH
Thriller: A Cruel Picture,1973,4/7 CTV_2022-01-13 - TRASH ART / ART TRASH& 4/9 CTV_2021-05-20 - We present a study in THE ART OF REVENGE!
Coonskin,1975,5/7 CTV_2022-01-13 - TRASH ART / ART TRASH& 2/7 CTV_2021-05-17 - We are excited to have artist @trenton_doyle_hancock curate 's show with a list of films that have inspired him as a visual artist! ’s theme “Trapped In A World”& 2/10 CTV_2021-02-19 - BLAXPLOITATION: Black American Genre Cinema 1969-1976
Honeymoon Killers,1970,6/7 CTV_2022-01-13 - TRASH ART / ART TRASH
Andy Warhol’s Bad,1977,7/7 CTV_2022-01-13 - TRASH ART / ART TRASH
Eyes of Laura Mars,1978,1/7 CTV_2022-01-12 - 70’s Thrillers
Sisters,1972,2/7 CTV_2022-01-12 - 70’s Thrillers& 1/8 CTV_2020-08-13 - La Créature Femelle!
Assault on Precinct 13,1976,3/7 CTV_2022-01-12 - 70’s Thrillers
Night Moves,1975,4/7 CTV_2022-01-12 - 70’s Thrillers
Images,1972,5/7 CTV_2022-01-12 - 70’s Thrillers& 3/6 CTV_2020-09-10 - Yearning From The Void.  Stream starts at  with a Music Video pre-show! 🖤
The Driver,1978,"6/7 CTV_2022-01-12 - 70’s Thrillers& 3/8 CTV_2020-09-21 - Crooks, Hustlers, Swindlers & Cons."
Heathers,1988,1/7 CTV_2022-01-11 - Toxic Lovers
Head On aka Gegen Die Wand,2004,2/7 CTV_2022-01-11 - Toxic Lovers
Twentynine Palms,2003,3/7 CTV_2022-01-11 - Toxic Lovers
Summer with Monika,1953,4/7 CTV_2022-01-11 - Toxic Lovers& 8/10 CTV_2020-11-16 - Through Tomorrow Afternoon
